epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,113.552,1.95106,0.94096,1.25872,0.74007,0.78236,0.78751,0.33325,2.03271,1.01038,1.40661,0.00104813,0.00104813,0.00104813
77,114.998,1.94248,0.95311,1.26761,0.78675,0.87661,0.82108,0.36402,1.89151,0.88424,1.35416,0.00103987,0.00103987,0.00103987
78,116.452,1.90173,0.9305,1.25601,0.84177,0.83378,0.85919,0.37369,1.88144,0.87039,1.34031,0.00103162,0.00103162,0.00103162
79,117.896,1.95565,0.95716,1.26341,0.82495,0.86879,0.8727,0.37554,1.95082,0.87086,1.38269,0.00102337,0.00102337,0.00102337
80,119.35,1.94607,0.93376,1.24044,0.83116,0.86259,0.89133,0.39209,1.88153,0.86381,1.35735,0.00101512,0.00101512,0.00101512
81,120.822,1.91079,0.94224,1.25021,0.82281,0.86137,0.89612,0.38102,1.90162,0.85404,1.35543,0.00100687,0.00100687,0.00100687
82,122.287,1.93634,0.92201,1.23914,0.80218,0.81438,0.85854,0.38041,1.91748,0.89164,1.35818,0.000998616,0.000998616,0.000998616
83,123.743,1.92585,0.94345,1.25038,0.82921,0.85106,0.86277,0.38106,1.89424,0.94545,1.34479,0.000990365,0.000990365,0.000990365
84,125.185,1.9015,0.93154,1.23669,0.79604,0.84842,0.86692,0.38921,1.8593,0.87907,1.34609,0.000982113,0.000982113,0.000982113
85,126.618,1.94137,0.92748,1.26692,0.80955,0.8591,0.86436,0.3776,1.89592,0.86236,1.36753,0.000973861,0.000973861,0.000973861
86,128.063,1.90347,0.92821,1.24748,0.8124,0.82237,0.85403,0.3674,1.9217,0.89226,1.37751,0.00096561,0.00096561,0.00096561
87,129.514,1.92234,0.91778,1.25298,0.83613,0.7859,0.79998,0.36144,1.87729,0.86784,1.36844,0.000957358,0.000957358,0.000957358
88,130.972,1.92858,0.92603,1.23952,0.81592,0.78948,0.79915,0.3475,1.96266,0.89968,1.40135,0.000949106,0.000949106,0.000949106
89,132.425,1.90414,0.91843,1.24063,0.86081,0.81827,0.83966,0.35684,1.91961,0.87136,1.39554,0.000940855,0.000940855,0.000940855
90,133.878,1.92117,0.92611,1.25863,0.75465,0.89882,0.83475,0.36636,1.8623,0.8316,1.35825,0.000932603,0.000932603,0.000932603
91,135.331,1.90947,0.92851,1.25293,0.74901,0.88631,0.82076,0.35501,1.86502,0.84976,1.33815,0.000924352,0.000924352,0.000924352
92,136.963,1.91146,0.92216,1.25049,0.81022,0.84094,0.82194,0.35324,1.89072,0.88542,1.3552,0.0009161,0.0009161,0.0009161
93,138.402,1.91366,0.93158,1.26673,0.78142,0.81456,0.83406,0.36142,1.89353,0.9315,1.35079,0.000907848,0.000907848,0.000907848
94,139.861,1.86365,0.90179,1.24953,0.83684,0.80724,0.83833,0.35852,1.86961,0.87211,1.35292,0.000899597,0.000899597,0.000899597
95,141.302,1.88615,0.91703,1.25426,0.80185,0.79142,0.8219,0.34908,1.95351,0.9144,1.37117,0.000891345,0.000891345,0.000891345
96,142.755,1.88405,0.90117,1.23435,0.7684,0.86746,0.83727,0.37196,1.99532,0.9077,1.3971,0.000883093,0.000883093,0.000883093
97,144.218,1.87253,0.88827,1.24872,0.81661,0.8729,0.86498,0.37389,1.97297,0.86979,1.3808,0.000874842,0.000874842,0.000874842
98,145.65,1.85343,0.89109,1.2461,0.86549,0.77653,0.83484,0.37036,1.91927,0.86075,1.37185,0.00086659,0.00086659,0.00086659
99,147.097,1.87778,0.89732,1.26183,0.80251,0.81149,0.82325,0.37681,1.88336,0.85349,1.36888,0.000858338,0.000858338,0.000858338
100,148.545,1.8973,0.89765,1.22852,0.77923,0.86581,0.83334,0.3757,1.90001,0.9095,1.35514,0.000850087,0.000850087,0.000850087
101,149.995,1.90243,0.91489,1.25272,0.85104,0.81574,0.86542,0.36984,1.87113,0.85892,1.35661,0.000841835,0.000841835,0.000841835
102,151.435,1.85336,0.88821,1.23839,0.81117,0.81621,0.85756,0.38271,1.92058,0.84266,1.37403,0.000833583,0.000833583,0.000833583
103,152.874,1.84663,0.87995,1.24589,0.7997,0.84526,0.82342,0.36835,1.98347,0.89361,1.39266,0.000825332,0.000825332,0.000825332
104,154.318,1.90885,0.90042,1.23605,0.84024,0.82282,0.86322,0.37246,1.8606,0.88537,1.34186,0.00081708,0.00081708,0.00081708
105,155.764,1.85134,0.88874,1.2506,0.82631,0.85541,0.86398,0.38087,1.92647,0.8499,1.3809,0.000808828,0.000808828,0.000808828
106,157.22,1.86563,0.877,1.22386,0.80275,0.84014,0.86188,0.37535,1.94924,0.87127,1.3806,0.000800577,0.000800577,0.000800577
107,158.666,1.89119,0.91448,1.23199,0.78962,0.91223,0.875,0.37528,1.93316,0.84208,1.39276,0.000792325,0.000792325,0.000792325
