epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,2692.37,1.62727,2.15253,0.7971,0.72857,0.64742,0.66609,0.36221,1.40674,1.89842,0.80984,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,2738.34,1.63348,2.1616,0.79625,0.7297,0.64527,0.66681,0.3616,1.40227,1.8935,0.80963,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,2784.36,1.61505,2.13515,0.79764,0.73306,0.6426,0.67008,0.36152,1.40475,1.89022,0.80945,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,2830.21,1.61975,2.13615,0.79662,0.72585,0.65076,0.66783,0.36069,1.40048,1.89039,0.80972,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,2876.08,1.62679,2.15012,0.79731,0.72533,0.64178,0.6655,0.36151,1.40189,1.89138,0.80974,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,2921.99,1.61235,2.13611,0.79863,0.74062,0.6432,0.66922,0.36188,1.404,1.88644,0.80995,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,2967.73,1.6254,2.14858,0.79786,0.73243,0.65021,0.67151,0.363,1.40013,1.88315,0.80946,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,3013.65,1.62923,2.14468,0.79524,0.73554,0.65385,0.67231,0.36406,1.39779,1.88246,0.8089,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,3059.5,1.6175,2.1318,0.79696,0.74289,0.64686,0.66971,0.36284,1.4009,1.87954,0.80877,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,3105.41,1.61449,2.13265,0.79671,0.7376,0.64864,0.67107,0.36346,1.39874,1.87615,0.8089,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,3151.33,1.6116,2.12601,0.79609,0.73955,0.65105,0.67139,0.36382,1.39711,1.87583,0.80906,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,3197.21,1.62433,2.13535,0.79502,0.73761,0.65516,0.67455,0.36506,1.39633,1.87013,0.80848,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,3243.05,1.60962,2.12916,0.79847,0.73795,0.64941,0.67182,0.3642,1.39521,1.8721,0.80856,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,3288.98,1.61176,2.11803,0.79592,0.74014,0.65224,0.67284,0.36576,1.39636,1.87142,0.80838,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,3334.92,1.62403,2.13829,0.79264,0.74536,0.65122,0.67387,0.3663,1.39219,1.86485,0.80832,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,3380.74,1.60507,2.10565,0.79794,0.74431,0.65788,0.67805,0.36681,1.39286,1.86894,0.80828,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,3426.61,1.6159,2.1267,0.79426,0.73864,0.65642,0.67753,0.36575,1.39374,1.86961,0.80806,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,3472.45,1.61271,2.12165,0.79516,0.73521,0.65202,0.67307,0.36512,1.39259,1.86875,0.80795,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,3518.33,1.60404,2.11723,0.7938,0.74369,0.64643,0.67516,0.36624,1.39098,1.86252,0.80786,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,3564.31,1.60734,2.11659,0.79477,0.74095,0.6503,0.6745,0.36615,1.3905,1.86305,0.8078,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,3610.26,1.61351,2.11433,0.79332,0.74103,0.64726,0.67324,0.36446,1.39059,1.86434,0.80814,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,3656.15,1.6097,2.10563,0.79332,0.74814,0.64436,0.67495,0.36714,1.3914,1.85802,0.8078,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,3702.03,1.61049,2.1142,0.79379,0.74721,0.64345,0.67468,0.36799,1.38904,1.85956,0.80735,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,3747.91,1.60534,2.10429,0.79312,0.74915,0.65196,0.67862,0.36908,1.38685,1.85377,0.80748,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,3793.72,1.58683,2.0787,0.79567,0.74173,0.64804,0.67638,0.36869,1.38735,1.85272,0.80705,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,3839.47,1.5978,2.10414,0.7968,0.73842,0.65396,0.67687,0.3687,1.38583,1.84776,0.807,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,3885.46,1.60139,2.08991,0.79293,0.74306,0.65758,0.67902,0.37021,1.38581,1.84778,0.80682,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,3931.25,1.60684,2.10056,0.79416,0.74453,0.65839,0.67782,0.36998,1.38392,1.84819,0.80672,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,3977.12,1.59378,2.09056,0.79371,0.73847,0.66126,0.68059,0.37095,1.38304,1.8465,0.80665,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,4023.02,1.60412,2.09817,0.79434,0.74206,0.66157,0.6814,0.37096,1.3824,1.84473,0.80676,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,4068.95,1.59091,2.0775,0.7931,0.75127,0.65988,0.6853,0.37261,1.3823,1.84141,0.80665,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,4114.81,1.59451,2.07625,0.7952,0.76276,0.65385,0.68282,0.37121,1.38133,1.83968,0.80654,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,4160.73,1.59008,2.07826,0.79154,0.75497,0.65603,0.68019,0.37105,1.38003,1.83997,0.80654,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,4206.61,1.59146,2.08083,0.79325,0.74759,0.66164,0.6823,0.37156,1.38046,1.83884,0.80643,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,4252.68,1.59657,2.08108,0.79132,0.75383,0.65749,0.68158,0.37205,1.38096,1.83682,0.80647,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,4298.58,1.58626,2.06883,0.79301,0.74689,0.65942,0.68041,0.37144,1.38119,1.83774,0.80632,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,4344.53,1.60269,2.07976,0.79307,0.74832,0.66129,0.68239,0.37242,1.38105,1.83613,0.80622,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,4390.37,1.58734,2.06923,0.79463,0.74106,0.66405,0.68189,0.37279,1.38182,1.83534,0.80627,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,4436.2,1.58526,2.06958,0.79374,0.74795,0.66057,0.68313,0.3743,1.38065,1.83425,0.80612,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,4482.05,1.58395,2.06977,0.79327,0.74638,0.66224,0.68324,0.37375,1.3791,1.83241,0.80606,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,4527.94,1.59221,2.06768,0.79247,0.75025,0.65668,0.6831,0.37361,1.37839,1.8319,0.80593,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,4573.74,1.57984,2.05548,0.79358,0.75306,0.65756,0.68413,0.37319,1.37803,1.83006,0.80594,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,4619.58,1.57996,2.05586,0.79328,0.7453,0.66023,0.68246,0.37257,1.3784,1.82879,0.80581,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,4665.48,1.58994,2.06303,0.79149,0.75322,0.65633,0.68272,0.37283,1.37745,1.82805,0.80576,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,4711.36,1.58473,2.06167,0.79229,0.75091,0.65861,0.68435,0.37315,1.37787,1.82783,0.80577,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,4757.22,1.57182,2.0431,0.7931,0.75054,0.65795,0.68339,0.3736,1.37697,1.82586,0.80569,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,4803.11,1.58623,2.06489,0.79288,0.75012,0.66219,0.68503,0.37413,1.37606,1.82615,0.80576,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,4848.95,1.57763,2.0524,0.79186,0.75592,0.65873,0.6847,0.3737,1.37657,1.82277,0.80562,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,4894.78,1.58488,2.05121,0.79082,0.75233,0.66228,0.68556,0.37358,1.37695,1.8235,0.80564,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
